name,province_id
SARIYAHŞİ,68
ESKİL,68
GÜLAĞAÇ,68
MERKEZ,72
BEŞİRİ,72
GERCÜŞ,72
KOZLUK,72
SASON,72
HASANKEYF,72
ARALIK,76
MERKEZ,76
TUZLUCA,76
KARAKOYUNLU,76
BAHÇE,80
KADİRLİ,80
MERKEZ,80
DÜZİÇİ,80
HASANBEYLİ,80
SUMBAS,80
TOPRAKKALE,80
